isocode,walscode,glottocode,idsid
agr,agr,agua1253,258
agx,agl,aghu1253,61
akv,axv,akhv1239,33
akv,axv,akhv1239,34
alc,qaw,qawa1238,313
ani,anx,andi1255,32
ani,anx,andi1255,316
aqc,arc,arch1244,62
arb,ams,stan1318,95
arn,map,mapu1245,309
aro,ana,arao1248,272
auc,wao,waor1240,255
ava,ava,avar1256,107
ava,ava,avar1256,28
ava,ava,avar1256,29
ava,ava,avar1256,26
ava,ava,avar1256,27
ava,ava,avar1256,31
ava,ava,avar1256,81
ava,ava,avar1256,30
ayo,ayr,ayor1240,297
azb,azi,sout2697,71
azz,nsz,high1278,222
bdk,bdk,budu1248,63
blc,bco,bell1243,231
bre,bre,bret1244,183
brg,baq,baur1253,261
bul,bul,bulg1262,200
cag,chu,niva1238,307
cao,cbo,chac1251,279
cas,mos,mose1249,271
cat,ctl,stan1289,177
cat,ctl,stan1289,177
cav,cav,cavi1250,273
cbi,cay,chac1249,245
cbr,cas,cash1251,277
ces,cze,czec1258,202
chb,msc,chib1270,243
che,chc,chec1245,75
che,chc,chec1245,317
cjh,chl,uppe1439,232
cji,chm,cham1309,51
cof,tsf,colo1256,246
con,cof,cofa1242,254
cyb,cyv,cayu1262,283
cym,wel,wels1247,182
dan,dsh,dani1285,186
dar,drg,darg1241,59
dar,drg,darg1241,57
dar,drg,darg1241,60
dar,drg,darg1241,58
dar,drg,darg1241,164
ddo,tsz,dido1241,55
ddo,tsz,dido1241,162
deu,gbl,stan1295,194
deu,ger,stan1295,194
deu,gha,stan1295,194
deu,gma,stan1295,194
deu,gth,stan1295,194
deu,gth,stan1295,194
deu,gti,stan1295,194
ell,gcy,mode1248,168
ell,grk,mode1248,168
emp,emb,nort2972,247
eng,eng,stan1293,190
ese,ese,esee1248,274
ese,ese,esee1248,275
est,est,esto1258,127
eus,bqb,basq1248,219
eus,bqg,basq1248,219
eus,bqh,basq1248,219
eus,bqi,basq1248,219
eus,bql,basq1248,219
eus,bqn,basq1248,219
eus,bqo,basq1248,219
eus,bqr,basq1248,219
eus,bqs,basq1248,219
eus,bqz,basq1248,219
eus,bsq,basq1248,219
fin,fin,finn1318,128
fra,fre,stan1290,171
fra,fre,stan1290,171
gdo,god,ghod1238,38
ghl,nbh,ghul1238,318
gin,hnk,hinu1240,42
gle,ird,iris1253,181
gle,iri,iris1253,181
gle,irm,iris1253,181
guc,goa,wayu1243,262
gug,gua,para1311,290
gui,crg,east2555,289
guq,ach,ache1246,288
hau,hau,haus1257,220
haw,haw,hawa1245,235
hdn,hno,nort2938,227
hun,hun,hung1274,131
huz,hzb,hunz1247,52
hye,arm,nucl1235,206
hye,arm,nucl1235,207
hye,arw,nucl1235,206
hye,arw,nucl1235,207
hye,arz,nucl1235,206
hye,arz,nucl1235,207
ign,ign,igna1246,263
ita,ifi,ital1282,170
ita,ifi,ital1282,170
ita,ita,ital1282,170
ito,ito,iton1250,284
jiv,jiv,shua1257,259
kap,bez,bezh1248,160
kca,kty,khan1273,135
kgp,kng,kain1272,294
khv,khv,khva1239,54
khv,khv,khva1239,41
khv,khv,khva1239,53
kjj,khi,khin1240,69
kpj,jva,kara1500,295
kpt,krt,kara1474,39
kpt,krt,kara1474,40
